PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,Passenger 1,female,30.6,0,3,TKT00001,29.9,A5,S
2,0,2,Passenger 2,male,23.6,0,1,TKT00002,30.73,nan,C
3,0,1,Passenger 3,female,,1,0,TKT00003,9.14,nan,S
4,1,3,Passenger 4,female,36.1,1,1,TKT00004,18.47,nan,S
5,0,3,Passenger 5,male,10.6,0,1,TKT00005,6.02,nan,S
6,1,2,Passenger 6,female,38.4,0,0,TKT00006,4.04,nan,C
7,0,1,Passenger 7,female,18.2,0,1,TKT00007,36.33,nan,Q
8,1,1,Passenger 8,female,20.9,0,2,TKT00008,11.0,nan,S
9,0,3,Passenger 9,male,33.4,0,0,TKT00009,40.37,nan,S
10,0,3,Passenger 10,male,,0,0,TKT00010,48.75,nan,S
11,0,2,Passenger 11,male,41.5,0,0,TKT00011,12.24,nan,S
12,0,1,Passenger 12,female,18.2,0,0,TKT00012,32.21,nan,S
13,0,3,Passenger 13,male,20.3,0,1,TKT00013,11.84,B28,S
14,0,3,Passenger 14,female,19.8,0,1,TKT00014,4.59,nan,S
15,0,3,Passenger 15,male,21.1,0,0,TKT00015,22.17,nan,S
16,0,3,Passenger 16,male,44.4,0,0,TKT00016,13.78,D33,S
17,0,1,Passenger 17,male,,0,1,TKT00017,14.12,nan,C
18,0,2,Passenger 18,male,52.9,0,0,TKT00018,97.54,nan,S
19,0,2,Passenger 19,female,,0,0,TKT00019,5.93,nan,S
20,0,3,Passenger 20,male,14.6,1,1,TKT00020,27.28,nan,S
21,0,3,Passenger 21,female,30.0,0,0,TKT00021,9.06,nan,C
22,0,3,Passenger 22,male,12.5,0,1,TKT00022,41.54,nan,S
23,1,3,Passenger 23,female,,1,0,TKT00023,25.5,nan,S
24,0,3,Passenger 24,female,,1,0,TKT00024,27.21,E46,S
25,1,3,Passenger 25,female,14.2,0,0,TKT00025,9.43,nan,S
26,1,1,Passenger 26,male,14.3,1,0,TKT00026,10.89,C85,Q
27,1,1,Passenger 27,male,27.0,1,1,TKT00027,42.17,D33,S
28,0,2,Passenger 28,male,,0,0,TKT00028,82.82,nan,S
29,0,3,Passenger 29,male,40.8,1,0,TKT00029,29.5,nan,C
30,0,1,Passenger 30,female,,1,0,TKT00030,9.8,nan,S
31,1,3,Passenger 31,female,68.3,2,0,TKT00031,26.34,nan,S
32,0,3,Passenger 32,female,22.7,1,1,TKT00032,140.05,A5,S
33,0,3,Passenger 33,male,30.0,1,1,TKT00033,21.8,nan,S
34,0,1,Passenger 34,male,10.9,0,0,TKT00034,64.68,E46,S
35,0,2,Passenger 35,male,52.9,1,0,TKT00035,11.11,E46,C
36,0,1,Passenger 36,male,44.7,0,0,TKT00036,19.42,G6,C
37,0,3,Passenger 37,male,33.2,0,0,TKT00037,32.97,nan,C
38,0,3,Passenger 38,male,10.1,1,0,TKT00038,27.6,nan,S
39,0,3,Passenger 39,male,31.9,2,1,TKT00039,10.88,nan,S
40,1,2,Passenger 40,female,13.3,0,0,TKT00040,10.51,D33,S
41,0,2,Passenger 41,male,49.5,1,0,TKT00041,44.28,nan,Q
42,0,2,Passenger 42,female,40.3,0,0,TKT00042,52.1,nan,C
43,0,3,Passenger 43,female,30.3,1,1,TKT00043,67.34,nan,S
44,0,3,Passenger 44,male,,0,1,TKT00044,85.04,G6,S
45,1,1,Passenger 45,female,15.2,1,0,TKT00045,22.37,nan,C
46,0,3,Passenger 46,female,38.6,0,0,TKT00046,15.66,nan,Q
47,0,1,Passenger 47,male,,0,0,TKT00047,59.19,nan,C
48,0,3,Passenger 48,male,44.5,1,1,TKT00048,35.53,A5,S
49,0,1,Passenger 49,female,,0,0,TKT00049,9.15,nan,S
50,0,2,Passenger 50,male,33.2,0,1,TKT00050,8.79,nan,S
51,0,3,Passenger 51,male,43.2,0,0,TKT00051,29.77,nan,S
52,0,1,Passenger 52,male,5.8,0,0,TKT00052,17.43,D33,Q
53,1,2,Passenger 53,female,28.9,0,1,TKT00053,19.67,B28,S
54,0,2,Passenger 54,female,32.8,1,1,TKT00054,47.37,nan,S
55,1,2,Passenger 55,female,24.8,1,0,TKT00055,36.86,nan,S
56,0,3,Passenger 56,female,,0,1,TKT00056,58.2,nan,S
57,1,3,Passenger 57,male,24.4,0,0,TKT00057,4.28,nan,S
58,0,3,Passenger 58,male,24.4,0,0,TKT00058,24.6,nan,S
59,0,2,Passenger 59,male,26.9,3,0,TKT00059,35.01,nan,C
60,1,3,Passenger 60,male,21.1,1,1,TKT00060,5.92,A5,S
61,0,2,Passenger 61,female,22.8,1,0,TKT00061,11.89,nan,S
62,0,2,Passenger 62,male,28.4,0,0,TKT00062,10.25,nan,S
63,1,1,Passenger 63,male,,0,1,TKT00063,20.44,nan,S
64,0,3,Passenger 64,female,24.7,0,2,TKT00064,73.87,nan,S
65,0,3,Passenger 65,male,23.3,0,1,TKT00065,101.3,nan,C
66,0,3,Passenger 66,male,30.3,3,0,TKT00066,10.47,nan,S
67,1,3,Passenger 67,male,2.1,0,0,TKT00067,30.61,nan,Q
68,0,3,Passenger 68,male,35.7,0,1,TKT00068,31.41,nan,S
69,0,3,Passenger 69,male,,0,2,TKT00069,27.39,nan,S
70,0,3,Passenger 70,male,29.6,0,2,TKT00070,27.64,nan,S
71,0,2,Passenger 71,male,42.5,0,0,TKT00071,25.61,nan,S
72,0,1,Passenger 72,male,1.7,0,0,TKT00072,77.48,G6,C
73,0,1,Passenger 73,female,1.4,0,1,TKT00073,48.52,nan,S
74,0,3,Passenger 74,male,32.8,0,1,TKT00074,8.6,nan,S
75,0,3,Passenger 75,male,28.9,1,0,TKT00075,37.96,C85,S
76,0,3,Passenger 76,male,31.4,1,0,TKT00076,41.01,nan,C
77,1,1,Passenger 77,male,,1,0,TKT00077,25.84,nan,S
78,0,3,Passenger 78,female,,1,1,TKT00078,49.66,nan,C
79,0,1,Passenger 79,male,42.1,1,1,TKT00079,23.35,nan,S
80,1,2,Passenger 80,female,35.8,0,1,TKT00080,23.58,D33,C
81,0,1,Passenger 81,female,25.3,0,0,TKT00081,22.13,nan,S
82,0,1,Passenger 82,male,0.5,0,0,TKT00082,4.0,nan,S
83,1,3,Passenger 83,female,39.8,0,0,TKT00083,18.83,nan,Q
84,0,2,Passenger 84,male,46.1,0,0,TKT00084,11.77,nan,S
85,0,3,Passenger 85,male,38.0,0,1,TKT00085,7.77,E46,S
86,0,3,Passenger 86,male,16.7,0,0,TKT00086,63.26,nan,S
87,0,2,Passenger 87,female,,0,0,TKT00087,30.07,nan,S
88,0,3,Passenger 88,male,41.0,1,0,TKT00088,19.61,nan,S
89,1,1,Passenger 89,male,50.8,1,1,TKT00089,12.78,nan,S
90,0,3,Passenger 90,male,16.7,0,2,TKT00090,25.46,nan,C
91,1,3,Passenger 91,male,25.8,0,0,TKT00091,44.4,nan,C
92,0,3,Passenger 92,female,,0,0,TKT00092,10.36,nan,S
93,0,3,Passenger 93,male,29.8,1,0,TKT00093,20.01,nan,S
94,0,1,Passenger 94,male,13.4,1,0,TKT00094,40.22,E46,C
95,0,3,Passenger 95,male,34.8,1,1,TKT00095,4.27,nan,S
96,0,2,Passenger 96,male,37.1,0,0,TKT00096,19.18,C85,S
97,1,1,Passenger 97,male,30.2,1,1,TKT00097,14.25,nan,S
98,0,2,Passenger 98,male,32.1,1,1,TKT00098,18.05,nan,S
99,1,3,Passenger 99,male,25.4,0,0,TKT00099,13.45,nan,S
100,0,3,Passenger 100,female,49.7,0,2,TKT00100,22.42,nan,C
101,0,3,Passenger 101,female,16.4,1,0,TKT00101,93.59,nan,Q
102,0,3,Passenger 102,female,20.8,2,1,TKT00102,15.5,nan,S
103,1,1,Passenger 103,male,29.2,0,0,TKT00103,25.36,nan,S
104,0,3,Passenger 104,female,41.3,2,0,TKT00104,99.07,D33,S
105,0,2,Passenger 105,female,8.0,0,0,TKT00105,12.94,nan,S
106,0,3,Passenger 106,female,10.7,0,0,TKT00106,85.78,nan,C
107,0,1,Passenger 107,male,,0,0,TKT00107,20.17,nan,S
108,1,3,Passenger 108,male,29.5,1,1,TKT00108,83.56,nan,Q
109,0,2,Passenger 109,male,,0,1,TKT00109,36.6,nan,S
110,1,1,Passenger 110,female,23.6,0,1,TKT00110,25.68,nan,S
111,1,3,Passenger 111,male,38.3,0,0,TKT00111,19.06,nan,n
112,0,1,Passenger 112,male,20.0,0,1,TKT00112,12.19,nan,S
113,0,1,Passenger 113,male,32.2,1,0,TKT00113,21.34,nan,C
114,1,3,Passenger 114,male,24.8,0,0,TKT00114,41.18,G6,S
115,0,2,Passenger 115,male,38.4,1,0,TKT00115,19.88,B28,S
116,0,3,Passenger 116,female,35.7,0,1,TKT00116,15.59,nan,S
117,0,2,Passenger 117,female,19.3,0,0,TKT00117,16.43,G6,S
118,1,3,Passenger 118,female,26.6,2,0,TKT00118,44.43,nan,C
119,0,3,Passenger 119,male,,0,0,TKT00119,53.52,nan,S
120,0,3,Passenger 120,male,34.5,0,2,TKT00120,11.78,nan,S
121,0,3,Passenger 121,male,,1,1,TKT00121,11.77,B28,S
122,0,3,Passenger 122,male,38.2,2,1,TKT00122,27.21,G6,S
